COD_AJ_APUR;"DESCRICAO";INICIO;FIM
GO000025;"Baixa do saldo credor do imposto em decorrência da aplicação dos incisos II, VI, IX e X do art. 45 do anexo VIII, para compensação do imposto devido por sub. tribut., na aq. interestadual de mercadoria da ST. RCTE – Art. 46, §§ 4º, I e 5º – Anexo VIII";2013-08-01;2024-06-30
GO000025;"Baixa sd credor do imp. em decorrência da aplic. dos incisos II, VI, IX, X e XI do art. 45 do anexo VIII, para comp. com o imposto devido por op. própria ou de sua responsabilidade por substituição tributária. Art. 46, §§ 4º, I e 5º do Anexo VIII do RCTE.";2024-07-01;
GO000026;"Estorno de crédito no caso da empresa que utilizar o crédito outorgado, previsto no inciso XXXI do Art. 11 do Anexo IX do RCTE, em valor superior ao que fizer jus no período. RCTE - Art. 11, XXXI, alínea “e” do Anexo IX";2009-01-01;2015-12-31
GO000027;"Débitos transferidos da Apuração do DIFAL (EC 87/15), Origem Goiás (Registro E300=GO), para a Apuração do ICMS Operações Próprias (Registro E110), por meio do ajuste de estorno de débito GO230000. EC 87/15 e art. 12, Anexo XV do RCTE.";2016-01-01;2018-12-31
GO000028;"ICMS-ST sobre a prestação de serviço de transporte para beneficiária de incentivo fiscal para o qual haja previsão de lançamento do tributo na Apuração de ICMS das operações próprias – Art. 3º, parág. único, IN 1.298/2016.";2020-10-01;
GO000028;"ICMS-ST sobre a prestação de serviço de transporte para beneficiária de incentivo fiscal para o qual haja previsão de lançamento do tributo  na Apuração de ICMS das operações próprias – Art. 3º, parág. único, IN 1.298/2016.";2017-03-01;2020-09-30
GO000029;"Débito parcelado consoante TARE, correspondente ao imposto devido na importação do exterior ICMS Próprio/ Operações Não Incentivadas PROGOIÁS/FOMENTAR/PRODUZIR - RCTE - Art. 73, § 3º.";2020-10-02;
GO000029;"Débito parcelado consoante TARE, correspondente ao imposto devido na importação do exterior Operações Não Incentivadas PROGOIÁS/FOMENTAR/PRODUZIR - RCTE - Art. 73, § 3º.";2020-10-01;2020-10-01
GO000030;"Débito parcelado consoante TARE, correspondente ao imposto devido na importação do exterior Operações Incentivadas PROGOIÁS/FOMENTAR/PRODUZIR - RCTE - Art. 73, § 3º";2020-10-01;
GO000031;"Débito lançado na apuração pelo produtor detentor de TARE, correspondente ao valor do imposto nas operações com B100 – RCTE, Anexo XII, Art. 262, I, “a”.";2022-01-01;
GO000032;"Baixa por restituição do saldo credor acum. (em moeda), mediante processo, na oper. em que o remetente pratica alíquota superior à aplicável pelo destinatário da mercadoria.Art. 45, IX e Art. 46, § 4º, III do Anexo VIII do RCTE.";2019-07-01;
GO000033;"Baixa por restituição do saldo credor acum. (em moeda), mediante processo, na oper. em que a BC presumida util. no cálculo do ICMS retido for maior que a BC da op. efet. realizada com o cons. final Art. 45, XI e Art. 46, § 4º, III do Anexo VIII do RCTE.";2019-07-01;
GO000034;"Débito de ICMS calculado sobre o total de entradas do mês, relativo a Operações de fornecimento de mercadorias com prest. de serviços de máquinas e equipamentos eletrônicos, TARE 052/02 - GSF. Art. 520 do RCTE.";2019-09-01;
GO000035;"Débito de ICMS de operações incentivadas para contribuintes do FOMENTAR/PRODUZIR/PROGOIÁS de documento fiscal extemporâneo ou complementar extemporâneo registrado na EFD e cujo DARE foi pago. Art. 141, §2º, II do RCTE e Parecer 216/2024-GEOT.";2024-10-01;
GO009999;"Código genérico em função da inexistência de código específico previsto na tabela. ICMS Próprio";2009-01-01;2010-07-31
GO010001;"Ref. ao cr out pelo equip do ECF em que o contrib. q cesse o uso do ECF, em pzo. inf a 2 anos, a contar do início de sua efetiva utiliz, no mesmo per. de apur. em que ocorrer a cess de uso ou em desacor. com a leg especif. - IN 495/01-GSF - Art. 7, I e II";2009-01-01;2010-08-01
GO010002;"Ref. cr. out. pela adquis. equip e software neces. p/integr da oper com cartão de cr ou déb. ao ECF, em que o contrib. deixar de op c/cartão de cr ou déb, em prazo inf. a 2 anos, a contar do início de sua efetiva utiliz. - IN 571/02-GSF - Art. 8, I e II";2009-01-01;2010-08-01
GO010003;"Ref. a utiliz da red de b. de cálc prev no inc VIII do Art. 8º, An IX-RCTE. O benef pode ser utiliz, desde q, no final do per de apur, o contrib efetue o estorno do corresp cr. de ICMS q tenha sido aprov em perc sup a 7% - IN 899/08-GSF - Art. 2º, § 1º";2009-01-01;2015-11-30
GO010004;"Ref. à entrada de mercadoria recebida em devolução, o contribuinte deve estornar o crédito do imposto apropriado em função de benefício fiscal relacionado à operação de saída. - Parecer nº 600/05 GOT";2009-01-01;2017-01-31
GO010004;"Ref. à entrada de mercadoria recebida em devolução, o contribuinte deve estornar o crédito do imposto apropriado em função de benefício fiscal relacionado à operação de saída. -Parecer nº 600/05 GOT";2017-02-01;2017-02-02
GO010004;"Ref. à entrada de mercadoria recebida em devolução, o contribuinte deve estornar o crédito do imposto apropriado em função de benefício fiscal relacionado à operação de saída. - Parecer nº 600/05 GOT";2021-01-01;2023-08-31
GO010005;"Ref. à decisão de restituição de ICMS denegatória do pagamento do mesmo, referente à substituição tributária e cujo fato gerador não se realizou e que foi aproveitado nos termos do Art. 49, II do CTE - RCTE - Art. 42, II";2009-01-01;
GO010006;"Ref. à decisão denegatória de aprov de cr. prop ao imp estornado ou não creditado em op. ou prest. anteriores, de oper. tributada realizada com prod. agrop, ..., e esta por sua vez, antecedida de oper. ou prest tributada - RCTE - Art. 50, § 2º";2009-01-01;
GO010007;"Ref. ao vl. corresp à dif. constatada resultar cr. sup. para o estab. remetente, entre o valor corresp à dif. apurada, do confronto entre o cr. e o déb. do icms, na hip de transf. Inter. de bem integrado ao at. imob. - RCTE - Art. 11, II, “c” - ANEXO IX";2009-01-01;
GO010008;"Ref. ao vl. corresp. à dif. constatada resultar cr. sup. para o estab. remetente, entre o valor corresp. à dif. apurada, do confronto entre o cr. e o déb. do icms, na hip. de transf. Inter.l de material de uso/consumo - RCTE - Art. 11, II, “c” - ANEXO IX";2009-01-01;
GO010009;"Ref. ao valor integral do cr. out. para o estab. Fab. ou revendedor de combustível, ao valor equivalente ao da aquisição de equip. medidor eletrônico de vazão - RCTE - Art. 11, XIV, ""g"" e ""j"" 1 e 2 - Anexo IX";2009-01-01;2021-12-31
GO010009;"Ref. ao valor integral do cr. out. para o estab. Fab. ou rev. de combustível, ao valor equivalente ao da aquisição de equip. medidor eletrônico de vazão - RCTE - Art. 11, XIV, ""g"" e ""j"" 1 e 2 - Anexo IX. Mantido nas situações do art 2º do Dec. 10008/21.";2022-01-01;2022-01-01
GO010010;"Ref. ao cr. correspondente à respectiva entrada, qdo o estabelecimento da construtora que efetuar venda ao público, realizar remessa para a obra que executar, - RCTE - Art. 28 § único - Anexo XIII";2009-01-01;
GO010011;"Referente ao estorno de crédito, mediante Notificação Fiscal, sem prejuízo da aplicação de penalidade cabível, desde que não tenha havido omissão do pagamento do imposto - RCTE - Art. 445-A";2009-01-01;
GO010012;"Ref. à decisão denegatória de aproveitamento de crédito perda ou extravio da 1ª (primeira) via do documento fiscal respectivo - RCTE - Art. 53, § 3º";2009-01-01;
GO010013;"Ref. às entradas recebidas em transf e qdo a base de cálc. utilizada na operação subsequente for inferior à da respectiva transf. - RCTE - Art. 58, § 2º";2009-01-01;
GO010014;"Ref. serviço transporte cuja entradas recebidas em transf e qdo a bc utilizada na op subseqüente for inferior à da respectiva transf - RCTE - Art. 58, § 2º e Art. 61";2009-01-01;
GO010015;"Ref. entrada serv comunic cuja saída ou prest serv seja isenta ou não-trib ou seja utiliz como insumo proces industr ou prest serv, cuja saída prod result ou serv prest for isento ou não trib. - RCTE - Art. 58, I, ""a"" e ""c"", 1 e Art. 61";2009-01-01;2011-06-30
GO010015;"Ref. à entrada de serviço de comunic cuja saída ou prest de serviço seja isenta ou não-trib; ou for integrado ou consumido em processo de produção ou industr, quando a saída da merc result for isenta ou não-trib -RCTE - Art. 58, I,  ""a"" e ""c"", 1 e Art. 61";2011-07-01;
GO010016;"Ref. serviço transporte cuja saída ou prest serv seja isenta ou não-trib ou seja utiliz como insumo proces de industr ou prest de serv, cuja saída prod result ou serv prestado for isento ou não trib - RCTE - Art. 58, I, ""a"" e ""c"", 1 e Art. 61";2009-01-01;2011-06-30
GO010016;"Ref. ao serviço de transporte cuja saída ou prest de serv seja isenta ou não-trib; ou for integrado ou consumido em processo de produção ou industr, quando a saída da mercadoria resultante for isenta ou não-trib  -RCTE - Art. 58, I, ""a"" e ""c"", 1 e Art. 61";2011-07-01;
GO010017;"Ref. entrada energia elét cuja saída ou prest serv seja isenta ou não-tributada ou em que seja utiliz como insumo e cuja saída do prod result ou do serv prest for isento ou não tributado - RCTE - Art. 58, I, ""a"" e ""c"", item 1 e Art. 61";2009-01-01;2011-06-30
GO010017;"Ref. à entrada de energia elét cuja saída ou prest de serviço seja isenta ou não-trib; ou for integrada ou consumida em processo de produção ou industr, quando a saída da merc result for isenta ou não-trib -RCTE - Art. 58, I, ""a"" e ""c"", item 1 e Art.  61";2011-07-01;
GO010018;"Ref. à entrada de serviço de comunicação cuja saída ou prestação de serviço seja contemplada com redução de base de cálculo, hipótese em que o estorno é proporcional a essa redução; - RCTE - Art. 58, I, ""b"" e Art. 61";2009-01-01;
GO010019;"Ref. à entrada e que tenha sido utiliz no consumo do próprio estabel., relativa e proporc. à parcela das oper. ou prest. isentas ou não-tribut., considerando-se as saídas e as prest. com destino ao exterior como sendo tributadas - RCTE - Art. 58, I, ""e""";2009-01-01;
GO010020;"Ref. serv transp cuja entrada e que tenha sido utiliz no uso ou consumo final do próprio estab, e houver saída ou prest isen ou não trib, na prop que estas saídas ou prest represent total saídas e prest no mesmo período - RCTE - Art. 58, I, ""e"" e Art. 61";2009-01-01;
GO010021;"Ref. entrada em que seja utilizada como insumo processo industr ou prest serv, e houver saída ou prest isentas ou não trib e sendo impossível determinar a qual delas corresponde a mercad ou o serviço. - RCTE - Art. 58, I, “ c”, 2";2009-01-01;2011-06-30
GO010022;"Ref. à entrada de mercadoria ou bem cuja saída ou prestação de serviço seja isenta ou não-tributada - RCTE - Art. 58, I, “a”";2009-01-01;
GO010023;"Ref. à entrada cuja saída ou prestação de serviço seja contemplada com redução de base de cálculo, hipótese em que o estorno é proporcional a essa redução. - RCTE - Art. 58, I, “b” e §4º";2009-01-01;2020-09-30
GO010023;"Ref. à entrada DE MERCADORIA cuja saída ou prestação de serviço seja contemplada com redução de base de cálculo, hipótese em que o estorno é proporcional a essa redução. - RCTE - Art. 58, I, “b” e §4º";2020-10-01;
GO010024;"Ref. a prestação de serviço de transporte correspondente seja contemplada com redução de base de cálculo, hipótese em que o estorno é proporcional a essa redução. - RCTE - Art. 58, I, “b” e §4º, Art. 61";2009-01-01;
GO010025;"Ref. à entrada de energia elétrica cuja saída ou prestação de serviço seja contemplada com redução de base de cálculo, hipótese em que o estorno é proporcional a essa redução. - RCTE - Art. 58, I, “b” e §4º, Art. 61";2009-01-01;
GO010026;"Ref. à entrada em que seja integrada ou consumida em processo de produção, industrialização e cuja saída da mercadoria resultante for isenta ou não tributada - RCTE - Art. 58, I, “c”, 1";2009-01-01;
GO010027;"Ref. à entrada em que seja utilizada como insumo em processo de produção, industr ou prest de serv, e cuja saída do prod result ou do serv prestado for isento ou não tributado - RCTE - Art. 58, I, “c”, 1";2009-01-01;2011-06-30
GO010028;"Ref. à entrada em que seja integrada ou consumida em processo de industrialização, e houver saída ou prest isentas ou não trib e sendo impossível determinar a qual delas corresponde a mercadoria - RCTE - Art. 58, I, “c”, 2";2009-01-01;2011-06-30
GO010028;"Ref. à entrada em que seja integrada ou consumida em processo de industrialização, e houver saída isenta ou não tributada e sendo impossível determinar a qual delas corresponde a mercadoria -RCTE - Art. 58, I, “c”, 2";2011-07-01;2020-09-30
GO010028;"Ref. a entrada que seja integrada ou cons. em proc. de ind. e houver saída isenta ou não trib. sendo imp. det. a qual delas EQUIV a merc, na prop. que estas saídas ou prest. repres. do total das saídas e prest. no mesmo período - RCTE - Art. 58, I, “c”, 2.";2020-10-01;
GO010029;"Ref. à entrada de mercadoria e integrada ao ativo imobilizado do estabelecimento, e houver perecimento, sinistro, furto, roubo ou deterioração do bem, para bens adquiridos até 31.12.00 - RCTE - Art. 58, I, “d”, 2";2009-01-01;2011-06-30
GO010030;"Ref. à entrada de mercadoria e integrada ao ativo imobilizado do estabelecimento, e houver saída de produto ou mercadoria isentos ou não tributados, para bens adquiridos até 31.12.00 - RCTE - Art. 58, I, “d”, 1";2009-01-01;2011-06-30
GO010031;"Ref. ao serviço de transporte cuja entrada de mercadoria e integrada ao ativo imobilizado do estabelecimento, e houver saída de produto ou mercadoria isentos ou não tributados - RCTE - Art. 58, I, “d”, 1 e Art. 61";2009-01-01;2011-06-30
GO010032;"Ref. entrada utiliz no uso ou consumo final do próprio estabel., e houver saída ou prest isentas ou não trib, na prop. em que estas saídas ou prest represent do total das saídas e prest no mesmo período (apl. a partir de 01.01.03) - RCTE - Art. 58, I, “e”";2009-01-01;2011-06-30
GO010033;"Ref. entrada serviço comunicação em que seja utilizada como insumo em processo industr ou prest serv, e houver saída ou prest isentas ou não trib e impossível determinar a qual corresp a mercad ou o serviço - RCTE - Art. 58, I,” c”, 2 e Art. 61";2009-01-01;2011-06-30
GO010033;"Ref.  à entrada de serviço de comunicação em que seja integrada ou consumida em processo de industr, e houver saída isenta/não trib e sendo impossível determinar a qual delas corresponde a mercadoria -RCTE - Art. 58, I,” c”, 2 e Art. 61;CTE Art. 61, § 3º";2011-07-01;
GO010034;"Ref. ao serviço transporte entrada seja utilizada como insumo processo industr ou prest serv, e houver saída ou prest isentas ou não trib e sendo impossível determinar a qual delas corresp mercad ou o serv - RCTE - Art. 58, I,” c”, 2 e Art. 61";2009-01-01;2011-06-30
GO010034;"Ref.  ao serviço de transporte cuja entrada seja integrada ou consumida em processo de industr, e houver saída isenta ou não trib e sendo impossível determinar a qual delas corresponde a mercadoria -RCTE - Art. 58, I,” c”, 2 e Art. 61;CTE Art. 61, § 3º";2011-07-01;
GO010035;"Ref. ao serviço de transporte cuja entrada de mercadoria e integrada ao ativo imobilizado do estabelecimento, e houver perecimento, sinistro, furto, roubo ou que implique a deterioração do bem - RCTE - Art. 58, I,” d”, 2 e Art. 61";2009-01-01;2011-06-30
GO010036;"Ref. entrada energia elét utilizada como insumo proces industr ou prest serv, e houver saída ou prest isentas ou não trib e sendo impossível determinar a qual delas corresp a mercad ou o serv - RCTE - Art. 58, I,”c”, 2 e Art. 61";2009-01-01;2011-06-30
GO010036;"Ref. à entrada de energia elétrica em que seja integrada ou consumida em processo de industr, e houver saída isenta ou não tribut e sendo impossível determinar a qual delas corresponde a mercadoria -RCTE - Art. 58, I,”c”, 2 e Art. 61;CTE Art. 61, § 3º";2011-07-01;
GO010037;"Ref. às entradas e que forem utilizadas em fim alheio à atividade operacional do estabelecimento - RCTE - Art. 58, II";2009-01-01;
GO010038;"Ref. às entrada de energia elétrica e que for utilizada em fim alheio à atividade operacional do estabelecimento - RCTE - Art. 58, II e Art. 61";2009-01-01;
GO010039;"Ref. ao serviço de transporte de entradas que forem utilizadas em fim alheio à atividade operacional do estabelecimento - RCTE - Art. 58, II e Art. 61";2009-01-01;
GO010040;"Ref. às entrada de serviço de comunicação e que for utilizada em fim alheio à atividade operacional do estabelecimento - RCTE - Art. 58, II e Art. 61";2009-01-01;
GO010041;"Ref. entradas e que inexistir, por qualquer motivo, op ou prest posterior, em razão de sinistro, furto, roubo, perecimento ou de qualquer outro motivo, desde de que devidamente comprovados - RCTE - Art. 58, III";2009-01-01;
GO010042;"Ref. entrada de energia elétrica e que inexistir, por qualquer motivo, operação ou prestação posterior, em razão de sinistro, furto, roubo, perecimento ou de qualquer outro motivo - RCTE - Art. 58, III e Art. 61";2009-01-01;
GO010043;"Ref. entrada serviço comunicação e que inexistir operação ou prestação posterior, em razão de sinistro, furto, roubo, perecimento ou de qualquer outro motivo - RCTE - Art. 58, III e Art. 61";2009-01-01;
GO010044;"Ref. serviço transporte de entradas e que inexistir, por qualquer motivo, op ou prest posterior, em razão de sinistro, furto, roubo, perecimento, ou de qualquer outro motivo - RCTE - Art. 58, III e Art. 61";2009-01-01;
GO010045;"Ref. entradas de mercadorias, bem, energia elétrica, serviço de comunicação, e serviço de transporte e na conta mercad, no final do exerc ou no encer ativ estab, por seu valor bruto, apresentar prejuízo - RCTE - Art. 58, IV e Art. 61";2009-01-01;
GO010046;"Ref. à entrada de merc. e houver saída ou prest isentas ou não trib. junt c/saída ou prest tributadas, devendo o estorno ser feito na prop em q estas saída ou prest isentas ou não trib repres do total das saídas e prest no mesmo período. - RCTE - Art. 60";2009-01-01;
GO010047;"Ref. à entrada de mercad p/ a usina de alcool que utiliza o cred out previsto no Art. 11, inciso XXVI do RCTE e houver saída ou prestações isentas ou não trib juntamente com saída ou prest trib - RCTE - Art. 60 e 61";2009-01-01;
GO010048;"Ref. à entrada de energia elét. e houver saída ou prest. isentas ou não trib junt c/saída ou prest trib, dev o est ser feito na prop em q estas saída ou prest isentas ou não trib repres do total das saídas e prest no mesmo período - RCTE - Art. 60 e 61";2009-01-01;
GO010049;"Ref à entrada de serv de comunic e houver saída ou prest isentas ou não trib junt c/saída ou prest trib, dev o est ser feito na prop em q estas saída ou prest isentas ou não trib repres do total das saídas e prest no mesmo período - RCTE - Art. 60 e 61";2009-01-01;
GO010050;"Ref. ao serv de transp qdo houver saída/prest isentas/não trib junt c/saída ou prest trib, consid as saídas p/o ext como trib, dev o est ser feito na prop em q estas saída/prest repres do total das saídas e prest no mesmo período - RCTE - Arts. 60 e 61";2009-01-01;
GO010051;"O contribuinte que efetuar oper interest com o produto result da mistura de óleo diesel com B100 deve efetuar o estorno do cr do imposto correspondente ao vol de B100 remetido. - RCTE - Art. 61-A, § 3º - Anexo VIII";2009-01-01;
GO010052;"Ref. ao cr. que superar o limite perc. de 7%, qdo a empresa utilizar a red.da b. de cálc. sobre o vl. da op que resulte o perc. de 7% na saída interna c/prod de informát., telecom. ou aut. relac. no Apend. IV do Anexo IX. - RCTE - Art. 8, XIII - Anexo IX";2009-01-01;
GO010053;"Estorno, pelo estabelec. remet., do imposto creditado, na hipótese em que a saída subseq. da mercad. resultante do processo de industr.ou de outro tratam., promovida pelo estabelec. dest., tenha sido contemplada com benef. Fiscal - CTE - Art. 62, § único";2009-01-01;2009-11-30
GO010053;"Estorno, pelo estabelec. remet., do imposto creditado, na hipótese em que a saída subseq. da mercad. resultante do processo de industr.ou de outro tratam., promovida pelo estabelec. dest., tenha sido contemplada com benef. Fiscal - CTE - Art. 62, § único";2009-12-01;
GO010054;"Estorno do valor do crédito outorgado do ICMS descrito no Art. 11-A, Anexo IX, do RCTE, que ultrapassar o montante do crédito de ICMS a que o contribuinte faria jus nas operações internas com adubo e fertilizante-RCTE - Art. 11-A, § único - anexo IX";2009-01-01;2010-11-30
GO010054;"Estorno do valor do crédito outorgado do ICMS descrito no Art. 11-A, Anexo IX, do RCTE, que ultrapassar o montante do crédito de ICMS a que o contribuinte faria jus nas operações internas com adubo e fertilizante - RCTE - Art. 11-A, § único - anexo IX";2010-12-01;2021-12-31
GO010055;"Ref. cred. de ICMS relativo à entrada e ao serviço utilizado quando vedado seu aproveitamento em função de saída com benefício do cr. outorgado RCTE - Arts. 11 e 12, Anexo IX (Ver art. 1º do Dec. Nº 6.899/09,)";2009-01-01;
GO010056;"Estorno de crédito para ajustar o aproveitamento do crédito do ICMS das aquisições de combustíveis face ao combustível consumido na prestação de serviço tributado iniciada neste Estado. - RCTE - art. 46, § 6º, inciso IV e IN 1.125/12-GSF art. 6º.";2012-11-01;
GO010057;"Estorno do crédito aprov. em perc. superior a 7%, em oper. interestadual, em função da red. de b. de cálculo ou do crédito outorgado previstos, respectivamente, nos arts. 8º, VIII, e 11, III, do Anexo IX do RCTE. IN 1.237/15-GSF - Arts. 1º, II, “a” e 2º.";2015-11-01;2020-08-31
GO010057;"Estorno do crédito aprov. em perc. superior ao estabelecido para oper. interestadual, em função da red. de b. de cálculo ou do crédito outorgado previstos, respectivamente, nos arts. 8º, VIII, e 11, III, do Anexo IX do RCTE. IN 1.237/15-GSF - Arts. 1º, II, “a” e 2º, I, “a”.";2020-09-01;
GO010058;"Estorno do crédito aproveitado em perc. superior a 10%, em oper. interna, em função da red. da b. de cálculo ou do crédito outorgado previstos, respectivamente, nos arts. 8º, VIII, e 11, III, do Anexo IX do RCTE. IN 1.237/15-GSF - Arts. 1º, II, “b” e 2º.";2015-11-01;2019-11-30
GO010058;"Estorno do crédito aproveitado em perc. superior a 11%, em oper. interna, em função da red. da b. de cálculo ou do crédito outorgado previstos, respectivamente, nos arts. 8º, VIII, e 11, III, do Anexo IX do RCTE. IN 1.237/15-GSF - Arts. 1º, II, “b” e 2º.";2019-12-01;2020-08-31
GO010058;"Estorno do crédito aproveitado em perc. superior ao estabelecido na legislação para oper. interna, em função da red. da b. de cálculo ou do crédito outorgado previstos, respectivamente, nos arts. 8º, VIII, e 11, III, do Anexo IX do RCTE. IN 1.237/15-GSF - Arts. 1º, II, “b” e 2º, I, “b”.";2020-09-01;
